,id,original_language,title,popularity,release_date,vote_average,vote_count
5167,1070514,ja,Zom 100: Bucket List of the Dead,3.569,2023-08-03,6.626,564
5168,339964,en,Valerian and the City of a Thousand Planets,4.596,2017-07-20,6.625,7555
5169,683340,en,Vengeance,3.591,2022-07-29,6.625,393
5170,416186,fr,Godard Mon Amour,3.537,2017-06-24,6.625,357
5171,119675,en,Behind the Candelabra,3.533,2013-05-26,6.6,787
5172,2605,en,Short Circuit,4.084,1986-05-09,6.623,1498
5173,736526,no,Troll,3.595,2022-11-30,6.624,1736
5174,616651,en,Stillwater,3.546,2021-07-29,6.6,1269
5175,10328,en,Cocoon,4.03,1985-06-21,6.622,1302
5176,535167,zh,The Wandering Earth,3.796,2019-02-05,6.623,997
5177,471498,fr,Oxygen,3.795,2021-05-12,6.623,1426
5178,8913,en,Pet Sematary,3.531,1989-04-21,6.623,2198
5179,454458,en,UglyDolls,3.539,2019-05-01,6.622,438
5180,239678,en,This Is Where I Leave You,3.534,2014-09-10,6.622,1352
5181,177494,en,Veronica Mars,3.572,2014-03-13,6.6,1080
5182,59860,en,Monte Carlo,3.794,2011-07-01,6.622,2149
5183,1082195,en,The Order,4.286,2024-12-05,6.624,482
5184,619297,en,Sweet Girl,3.546,2021-08-18,6.621,1208
5185,49517,en,Tinker Tailor Soldier Spy,4.329,2011-09-16,6.618,2676
5186,10176,en,The Quiet Earth,3.78,1985-09-08,6.621,553
5187,586461,en,Swallow,3.541,2020-01-15,6.6,765
5188,555850,en,The Holiday Calendar,3.576,2018-11-02,6.62,1019
5189,287590,ja,Saint Seiya: Legend of Sanctuary,3.534,2014-06-21,6.6,693
5190,246860,en,Clouds of Sils Maria,3.534,2014-08-20,6.6,760
5191,68727,en,Trance,3.834,2013-03-27,6.62,2198
5192,50837,en,Martha Marcy May Marlene,3.534,2011-10-21,6.6,753
5193,15613,en,Fire in the Sky,3.53,1993-03-12,6.6,600
5194,6639,en,Love in the Time of Cholera,3.532,2007-10-04,6.6,380
5195,341012,en,Popstar: Never Stop Never Stopping,3.792,2016-06-03,6.619,1256
5196,192577,ja,Space Pirate Captain Harlock,3.54,2013-09-07,6.6,1038
5197,20306,en,Swimming with Sharks,3.53,1994-09-10,6.6,314
5198,12165,en,The Burning Plain,3.532,2008-11-07,6.6,432
5199,9913,en,The Skeleton Key,3.531,2005-07-29,6.6,2098
5200,9529,en,Candyman,3.568,1992-10-16,6.6,1642
5201,8827,fr,99 Francs,3.826,2007-09-26,6.619,739
5202,2454,en,The Chronicles of Narnia: Prince Caspian,4.331,2008-05-15,6.618,6432
5203,166,fr,The Party,3.53,1980-12-17,6.618,1135
5204,572802,en,Aquaman and the Lost Kingdom,4.657,2023-12-20,6.6,2990
5205,334524,en,Gold,3.535,2016-02-03,6.6,1640
5206,12185,en,Heaven Can Wait,3.78,1978-06-28,6.617,409
5207,1198870,en,Return,3.542,,6.616,391
5208,774825,en,The Ice Age Adventures of Buck Wild,3.552,2022-01-28,6.616,1712
5209,720755,en,The Kid Detective,3.554,2020-10-16,6.6,423
5210,10875,en,The Fabulous Baker Boys,3.53,1989-10-13,6.6,335
5211,14029,it,Demons,3.531,1985-10-04,6.6,576
5212,12151,en,Ruthless People,3.53,1986-06-26,6.6,406
5213,61404,fr,Point Blank,3.532,2010-11-08,6.6,461
5214,11884,en,The Last Starfighter,4.28,1984-07-13,6.607,698
5215,11372,en,The Eagle Has Landed,3.567,1976-12-24,6.6,337
5216,492452,en,Ben Is Back,3.538,2018-12-05,6.6,922
5217,483104,en,A Christmas Prince,3.574,2017-11-17,6.613,1441
5218,706503,fr,Lost Bullet,3.541,2020-06-19,6.6,796
5219,21407,en,The Collector,3.782,2009-07-09,6.6,1508
5220,33408,en,The Crush,3.53,1993-04-02,6.6,506
5221,10664,es,[REC]²,3.57,2009-09-15,6.611,2020
5222,8738,en,The Final Countdown,3.53,1980-01-31,6.6,606
5223,481084,en,The Addams Family,4.08,2019-10-10,6.611,2362
5224,245916,en,Kill the Messenger,3.828,2014-10-09,6.61,853
5225,241239,en,A Most Violent Year,5.324,2014-12-31,6.6,1429
5226,9346,en,Risky Business,3.536,1983-08-05,6.6,1323
5227,1562,en,28 Weeks Later,3.91,2007-04-26,6.61,4455
5228,166076,en,Superman: Unbound,3.783,2013-04-23,6.607,414
5229,27936,fr,Micmacs,3.782,2009-10-28,6.609,602
5230,12150,en,Sea of Love,3.53,1989-09-15,6.6,621
5231,11184,en,Kinsey,3.531,2004-09-04,6.609,473
5232,5121,en,The Sugarland Express,3.535,1974-03-31,6.6,407
5233,945729,en,A Haunting in Venice,3.873,2023-09-13,6.608,2433
5234,852046,fr,Athena,3.841,2022-09-09,6.6,748
5235,184341,en,Hands of Stone,3.785,2016-08-26,6.6,418
5236,80321,en,Madagascar 3: Europe's Most Wanted,4.325,2012-06-06,6.607,6217
5237,44865,zh,The Grandmaster,3.533,2013-01-10,6.6,882
5238,1729,en,The Forbidden Kingdom,3.538,2008-04-17,6.6,1732
5239,70954,en,The Hunter,3.533,2011-10-06,6.6,656
5240,581726,en,Infinite,3.837,2021-09-09,6.606,1895
5241,329996,en,Dumbo,4.04,2019-03-27,6.605,4345
5242,839369,en,May December,3.578,2023-11-16,6.6,864
5243,762430,en,Retribution,3.576,2023-08-23,6.605,1192
5244,311291,en,45 Years,3.534,2015-08-04,6.6,744
5245,242042,en,Barefoot,3.533,2014-02-02,6.605,629
5246,544,en,There's Something About Mary,4.363,1998-07-15,6.6,5002
5247,529862,en,Brittany Runs a Marathon,3.539,2019-08-23,6.604,485
5248,8834,en,Conspiracy Theory,4.281,1997-08-08,6.605,1492
5249,823766,en,The Wonder,3.843,2022-11-02,6.603,843
5250,15393,en,Play Misty for Me,3.53,1971-10-01,6.6,510
5251,3525,en,Working Girl,3.53,1988-12-20,6.6,969
5252,420426,ja,Bleach,3.539,2018-07-20,6.602,546
5253,405177,en,"Where'd You Go, Bernadette",3.54,2019-08-16,6.602,660
5254,109421,en,Side Effects,3.572,2013-02-07,6.6,3115
5255,29963,en,Bright Star,3.532,2009-09-18,6.6,454
5256,16296,en,Killer Klowns from Outer Space,3.568,1988-05-27,6.602,1046
5257,11977,en,Caddyshack,4.042,1980-07-25,6.599,1183
